x, y, th, stamp, 
-1.999893372823272, -0.5000010771749943, 2.1353953516491737e-05, 817021000000, 
-1.9998933785718216, -0.5000010771583527, 2.135474564554751e-05, 817055000000, 
-1.99989337400341, -0.500001077112664, 2.135565974137859e-05, 817089000000, 
-1.9998933589139085, -0.5000010771081671, 2.135667165332423e-05, 817123000000, 
-1.9998933334057678, -0.5000010771914813, 2.1357765762190128e-05, 817157000000, 
-1.9998933139350685, -0.5000010771979597, 2.1358808888560453e-05, 817191000000, 
-1.9998932977386858, -0.5000010771933419, 2.1359856087807767e-05, 817225000000, 
-1.9998933068045088, -0.500001077124866, 2.1360564214796576e-05, 817259000000, 
-1.999893316363184, -0.5000010772081658, 2.1361274364975384e-05, 817293000000, 
-1.9998933329758213, -0.5000010771372236, 2.1362000037298398e-05, 817327000000, 
-1.999893342671686, -0.5000010772165134, 2.1362710014892637e-05, 817361000000, 
-1.9998933477057348, -0.5000010772169682, 2.136346597375685e-05, 817395000000, 
-1.9998933462789137, -0.5000010772068125, 2.136437292356884e-05, 817429000000, 
-1.9998933345946157, -0.5000010771724801, 2.136535068172764e-05, 817463000000, 
-1.999893312661772, -0.5000010771070014, 2.136639666038951e-05, 817497000000, 
-1.9998932848544886, -0.5000010772270922, 2.1367534501419786e-05, 817531000000, 
-1.9998932820404087, -0.5000010771477544, 2.1368469803633285e-05, 817565000000, 
-1.9998932872480393, -0.5000010772227047, 2.1369191541979057e-05, 817599000000, 
-1.999893295755957, -0.5000010772444502, 2.1369935135551885e-05, 817633000000, 
-1.9998933201747262, -0.5000010772094159, 2.1370567109563933e-05, 817667000000, 
-1.9998933316296272, -0.500001077171651, 2.1371274690391157e-05, 817701000000, 
-1.9998933323980779, -0.5000010772643072, 2.1372106444102886e-05, 817735000000, 
-1.9998933274332102, -0.5000010772581637, 2.137300530950632e-05, 817769000000, 
-1.9998933175751774, -0.5000010772513539, 2.1373951153011936e-05, 817803000000, 
-1.9998932987590152, -0.5000010772259795, 2.137497720179325e-05, 817837000000, 
-1.9998932740300313, -0.5000010771534508, 2.1376102118672205e-05, 817871000000, 
-1.9998932615089946, -0.5000010772641772, 2.1377109316567885e-05, 817905000000, 
-1.9998932524924693, -0.5000010772652086, 2.1377987588182178e-05, 817939000000, 
-1.9998932698811493, -0.5000010771640585, 2.1378646382277666e-05, 817973000000, 
-1.9998932906020888, -0.5000010772836628, 2.1379297048723326e-05, 818007000000, 
-1.9998933053261603, -0.5000010772354061, 2.1379951127874932e-05, 818041000000, 
-1.9998933096220108, -0.500001077178907, 2.1380762164239566e-05, 818075000000, 
-1.99989330312554, -0.50000107725059, 2.1381733313566663e-05, 818109000000, 
-1.9998932880510896, -0.5000010772937241, 2.138270080920321e-05, 818143000000, 
-1.9998932684926147, -0.5000010772854305, 2.138369967495716e-05, 818177000000, 
-1.9998932559163922, -0.5000010771882377, 2.138475362790665e-05, 818211000000, 
-1.9998932513348435, -0.5000010772983542, 2.1385636407278963e-05, 818245000000, 
-1.999893254331954, -0.5000010773122809, 2.1386413283538612e-05, 818279000000, 
-1.9998932706880828, -0.5000010772918333, 2.1387082450249987e-05, 818313000000, 
-1.9998932755310774, -0.5000010772003578, 2.138787158531889e-05, 818347000000, 
-1.9998932694631806, -0.5000010772729107, 2.1388793108169402e-05, 818381000000, 
-1.9998932548152732, -0.5000010773165655, 2.1389777732972497e-05, 818415000000, 
-1.999893247128625, -0.5000010773274566, 2.1390732769346598e-05, 818449000000, 
-1.999893236781487, -0.500001077283705, 2.139170873866466e-05, 818483000000, 
-1.9998932460335366, -0.5000010773135397, 2.139242767694997e-05, 818517000000, 
-1.9998932466929773, -0.5000010773361027, 2.139323591634911e-05, 818551000000, 
-1.9998932695152423, -0.5000010772928919, 2.1393858582999903e-05, 818585000000, 
-1.9998932745156648, -0.5000010772342446, 2.139462275030193e-05, 818619000000, 
-1.9998932687429503, -0.5000010773062934, 2.1395565566545264e-05, 818653000000, 
-1.9998932543885881, -0.5000010773496935, 2.1396553486333503e-05, 818687000000, 
-1.9998932355457701, -0.500001077341645, 2.1397550616639257e-05, 818721000000, 
-1.9998932236814524, -0.5000010772446722, 2.139858153110792e-05, 818755000000, 
-1.999893219809797, -0.500001077355002, 2.1399458707359236e-05, 818789000000, 
-1.9998932235131772, -0.5000010773691171, 2.1400237350783872e-05, 818823000000, 
-1.9998932405715826, -0.5000010773488573, 2.1400896900191765e-05, 818857000000, 
-1.9998932461138732, -0.5000010772575274, 2.1401675199835666e-05, 818891000000, 
-1.9998932407427092, -0.5000010773302289, 2.1402592473604248e-05, 818925000000, 
-1.9998932267881906, -0.5000010773740186, 2.140357194021204e-05, 818959000000, 
-1.9998932083407863, -0.5000010773663369, 2.1404578929739255e-05, 818993000000, 
-1.9998932041268465, -0.5000010773449088, 2.1405572045280654e-05, 819027000000, 
-1.9998932140659755, -0.500001077369362, 2.1406271040528215e-05, 819061000000, 
-1.9998932154095719, -0.5000010773922392, 2.1407042343634502e-05, 819095000000, 
-1.9998932389129187, -0.5000010773492177, 2.1407673189416917e-05, 819129000000, 
-1.9998932445920086, -0.5000010772907615, 2.1408443811126212e-05, 819163000000, 
-1.9998932394958007, -0.5000010773629774, 2.140936877087061e-05, 819197000000, 
-1.9998932258143085, -0.500001077406528, 2.141034580561483e-05, 819231000000, 
-1.9998932076411864, -0.5000010773986203, 2.141134370003171e-05, 819265000000, 
-1.999893191726446, -0.5000010773887205, 2.141239711795075e-05, 819299000000, 
-1.999893175624364, -0.5000010774147972, 2.141340301647658e-05, 819333000000, 
-1.9998931794984083, -0.5000010773733927, 2.1414218909785032e-05, 819367000000, 
-1.9998931974348957, -0.5000010774006451, 2.1414840550957605e-05, 819401000000, 
-1.999893206628648, -0.5000010774367344, 2.1415602912607556e-05, 819435000000, 
-1.9998932276927117, -0.5000010774270123, 2.1416207087339027e-05, 819469000000, 
-1.999893236477874, -0.5000010774113298, 2.141695551957233e-05, 819503000000, 
-1.999893234931794, -0.5000010773665362, 2.141785314523127e-05, 819537000000, 
-1.9998932228521045, -0.5000010773628838, 2.141884073838689e-05, 819571000000, 
-1.9998932003406356, -0.5000010774469709, 2.141989760772039e-05, 819605000000, 
-1.9998931722348483, -0.5000010774332784, 2.142098873188669e-05, 819639000000, 
-1.9998931555048851, -0.5000010773690393, 2.142207556502288e-05, 819673000000, 
