x, y, th, stamp, 
-1.9998828699301707, -0.5000010949213661, 2.576422814672596e-05, 990353000000, 
-1.99988286133699, -0.5000010949223929, 2.5765102169637945e-05, 990387000000, 
-1.999882879147573, -0.5000010948213469, 2.576575700971324e-05, 990421000000, 
-1.9998828886737376, -0.50000109494549, 2.5766481970201674e-05, 990455000000, 
-1.9998829094963912, -0.5000010948907071, 2.576714180423912e-05, 990489000000, 
-1.9998829142507646, -0.5000010948346246, 2.5767911939275382e-05, 990523000000, 
-1.9998829082230107, -0.5000010949064385, 2.5768868407069153e-05, 990557000000, 
-1.9998828936146076, -0.500001094949649, 2.5769854106267825e-05, 990591000000, 
-1.999882874519716, -0.500001094941401, 2.577084866112533e-05, 990625000000, 
-1.999882857687542, -0.5000010949311894, 2.577191421405996e-05, 990659000000, 
-1.9998828406718336, -0.5000010949569775, 2.5772934970810334e-05, 990693000000, 
-1.9998828436367007, -0.5000010949153889, 2.5773756537887375e-05, 990727000000, 
-1.9998828606683277, -0.5000010949425359, 2.577438460218742e-05, 990761000000, 
-1.9998828689608543, -0.5000010949784991, 2.5775158220543776e-05, 990795000000, 
-1.9998828891280271, -0.500001094968721, 2.5775771990364775e-05, 990829000000, 
-1.9998828970200544, -0.5000010949529441, 2.5776527737625103e-05, 990863000000, 
-1.9998828945846479, -0.5000010949080259, 2.5777434102284756e-05, 990897000000, 
-1.9998828816192793, -0.5000010949042183, 2.5778431279460562e-05, 990931000000, 
-1.9998828582257493, -0.5000010949881182, 2.577949669880836e-05, 990965000000, 
-1.9998828292415187, -0.5000010949742275, 2.5780596117311492e-05, 990999000000, 
-1.999882820513429, -0.5000010949113696, 2.578163111870708e-05, 991033000000, 
-1.9998828198769143, -0.5000010949841327, 2.57824322197599e-05, 991067000000, 
-1.9998828198957734, -0.500001094998541, 2.5783211777703955e-05, 991101000000, 
-1.9998828444224142, -0.5000010949292079, 2.5783870689987388e-05, 991135000000, 
-1.999882856251452, -0.5000010950098314, 2.578454099986746e-05, 991169000000, 
-1.999882863415007, -0.5000010950112082, 2.578528528313831e-05, 991203000000, 
-1.999882864108106, -0.5000010950018767, 2.5786180594254764e-05, 991237000000, 
-1.9998828545332634, -0.5000010949682674, 2.5787131347607696e-05, 991271000000, 
-1.9998828346996858, -0.5000010949034093, 2.5788154121958086e-05, 991305000000, 
-1.999882808984139, -0.5000010950240569, 2.578927632587413e-05, 991339000000, 
-1.9998828082497606, -0.5000010949453302, 2.579019214380999e-05, 991373000000, 
-1.9998828155285087, -0.5000010950208814, 2.5790891225339895e-05, 991407000000, 
-1.9998828260986505, -0.5000010950431973, 2.579161511642865e-05, 991441000000, 
-1.999882833644268, -0.5000010950345324, 2.579233528395783e-05, 991475000000, 
-1.9998828347168944, -0.5000010950257535, 2.579321294659936e-05, 991509000000, 
-1.9998828255220633, -0.5000010949925363, 2.5794175215358004e-05, 991543000000, 
-1.9998828060655025, -0.5000010949280587, 2.5795198975058035e-05, 991577000000, 
-1.9998827925144342, -0.5000010950518734, 2.5796212546176966e-05, 991611000000, 
-1.9998827922876592, -0.5000010950655759, 2.5797097059907753e-05, 991645000000, 
-1.999882806054423, -0.5000010950252259, 2.579771095198466e-05, 991679000000, 
-1.9998828168242306, -0.500001095074784, 2.5798472615667907e-05, 991713000000, 
-1.9998828246826814, -0.500001095065788, 2.5799202271633347e-05, 991747000000, 
-1.999882826061852, -0.5000010950569123, 2.5800051488028248e-05, 991781000000, 
-1.9998828171727725, -0.5000010950235919, 2.5801009760436748e-05, 991815000000, 
-1.9998827980212597, -0.5000010949590218, 2.5802044391347323e-05, 991849000000, 
-1.9998827729860889, -0.5000010950799374, 2.5803147953592547e-05, 991883000000, 
-1.999882772926402, -0.5000010950014461, 2.5804050291580222e-05, 991917000000, 
-1.9998827808771191, -0.5000010950772236, 2.5804751339834724e-05, 991951000000, 
-1.9998827921160571, -0.5000010950997519, 2.5805470531533646e-05, 991985000000, 
-1.9998828003265499, -0.5000010950912833, 2.5806179176954882e-05, 992019000000, 
-1.9998828020609807, -0.5000010950826751, 2.5807050707306527e-05, 992053000000, 
-1.9998827935247776, -0.5000010950496203, 2.580800929368299e-05, 992087000000, 
-1.9998827747237344, -0.5000010949852912, 2.580902583207943e-05, 992121000000, 
-1.9998827618254404, -0.5000010951092398, 2.5810031750426736e-05, 992155000000, 
-1.9998827622484199, -0.5000010951230651, 2.5810910690463387e-05, 992189000000, 
-1.9998827766618765, -0.5000010950828218, 2.581151876208692e-05, 992223000000, 
-1.9998827880757506, -0.5000010951324788, 2.5812273554243368e-05, 992257000000, 
-1.9998827965753911, -0.5000010951235702, 2.5812996774844037e-05, 992291000000, 
-1.999882798593078, -0.5000010951147632, 2.5813840055587855e-05, 992325000000, 
-1.9998827903398588, -0.5000010950815058, 2.581479206087459e-05, 992359000000, 
-1.9998827718216186, -0.5000010950169888, 2.581582027794825e-05, 992393000000, 
-1.9998827474172207, -0.5000010951379484, 2.581691766510076e-05, 992427000000, 
-1.9998827479858992, -0.5000010950594919, 2.5817813881076588e-05, 992461000000, 
-1.999882756562599, -0.5000010951352963, 2.5818508712202394e-05, 992495000000, 
-1.99988276071246, -0.5000010951603894, 2.581931143505904e-05, 992529000000, 
-1.9998827713256657, -0.50000109514718, 2.582001023798712e-05, 992563000000, 
-1.999882773722491, -0.5000010951390076, 2.5820836898677312e-05, 992597000000, 
-1.9998827658540486, -0.5000010951060894, 2.5821785103680885e-05, 992631000000, 
-1.9998827477181542, -0.5000010950418884, 2.582281729777787e-05, 992665000000, 
-1.9998827236964793, -0.5000010951631612, 2.5823909665633896e-05, 992699000000, 
